{
FlexPDE Version 5.0.21  17:29:12 Mar 24 2008
GLquiral.pde  05:22:39 7/8/21
Title: v
 Time 100
}
FlexPDE v500 Transfer File
2D Cholesteric LC
 2 DIMENSIONS
X
Y
 5 BASIS
 6 DOF
 1 VARIABLES
v
 4 JOINTS
 1 0 1 0 1
 2 0 2 0 1
 3 0 3 0 1
 4 0 4 0 1
 4 EDGES
 1 1 1 2 0 0 0 1 0 0 ""
 2 2 2 3 0 0 0 1 0 0 ""
 3 3 3 4 0 0 0 1 0 0 ""
 4 4 4 1 0 0 0 1 0 0 ""
 1 REGIONS
 1 1 1 1 1 ""
 9613 NODES
-50. -50.  0.8614811821  : 1 1 1 0
-47.777777778 -50.  0.8627780107  : 5 2 1 0
-50. -47.777777778  0.8600830254  : 180 2 4 0
-48.888888889 -48.888888889  0.8614568931  : 2450 0 1 0
-50. -48.888888889  0.8611219207  : 2451 2 4 0
-48.888888889 -50.  0.8618154897  : 2452 2 1 0
 50. -50.  0.85804048  : 2 1 2 0
 50. -47.777777778  0.8566361269  : 49 2 2 0
 47.777777778 -50.  0.8593416459  : 48 2 1 0
 48.888888889 -48.888888889  0.8580151854  : 2453 0 1 0
 48.888888889 -50.  0.8583757717  : 2454 2 1 0
 50. -48.888888889  0.8576795085  : 2455 2 2 0
 50.  50. -0.8602864443  : 3 1 3 0
 47.777777778  50. -0.8615855198  : 93 2 3 0
 50.  47.777777778 -0.8588787756  : 92 2 2 0
 48.888888889  48.888888889 -0.86025969  : 2456 0 1 0
 50.  48.888888889 -0.8599245796  : 2457 2 2 0
 48.888888889  50. -0.8606212724  : 2458 2 3 0
-50.  50. -0.8563813688  : 4 1 4 0
-50.  47.777777778 -0.8549660638  : 137 2 4 0
-47.777777778  50. -0.857684885  : 136 2 3 0
-48.888888889  48.888888889 -0.8563537934  : 2459 0 1 0
-48.888888889  50. -0.8567172156  : 2460 2 3 0
-50.  48.888888889 -0.8560175967  : 2461 2 4 0
-45.555555556 -50.  0.8664974381  : 6 2 1 0
-46.965640462 -48.028967514  0.8627575488  : 181 0 1 0
-46.260598009 -49.014483757  0.8647715857  : 2462 0 1 0
-47.37170912 -49.014483757  0.8629908754  : 2463 0 1 0
-46.666666667 -50.  0.8643358575  : 2464 2 1 0
-48.482820231 -47.903372646  0.8608548663  : 2465 0 1 0
-48.178048272 -46.364473937  0.8587061558  : 182 0 1 0
-47.571844367 -47.196720726  0.8608280036  : 2466 0 1 0
-49.089024136 -47.071125857  0.859318871  : 2467 0 1 0
-50. -45.555555556  0.8560431209  : 179 2 4 0
-49.089024136 -45.960014746  0.8572073961  : 2468 0 1 0
-50. -46.666666667  0.8583976603  : 2469 2 4 0
-48.054899697 -44.41296683  0.8539312332  : 183 0 1 0
-48.116473984 -45.388720384  0.8565757833  : 2470 0 1 0
-49.027449848 -44.984261193  0.8548339171  : 2471 0 1 0
-50. -43.333333333  0.8493136098  : 178 2 4 0
-49.027449848 -43.873150082  0.8514620135  : 2472 0 1 0
-50. -44.444444444  0.8530191761  : 2473 2 4 0
